n,r,orch,orch_acc,t,SF,SF_acc,t
3,0,3,3,0.16,3,3,0.14
3,1,21,24,0.16,21,24,0.16
3,2,132,156,0.16,90,114,0.16
3,3,804,960,0.16,294,408,0.16
3,4,4848,5808,0.16,834,1242,0.16
3,5,29136,34944,0.16,2178,3420,0.16
3,6,174912,209856,0.16,5394,8814,0.16
3,7,1049664,1259520,0.17,12882,21696,0.16
3,8,6298368,7557888,0.23,29970,51666,0.16
3,9,37790976,45348864,0.57,68370,120036,0.16
3,10,226747392,272096256,2.62,153618,273654,0.17
4,0,15,15,0.19,15,15,0.16
4,1,228,243,0.21,228,243,0.18
4,2,2832,3075,0.24,2118,2361,0.2
4,3,32880,35955,0.2,15138,17499,0.21
4,4,370320,406275,0.2,90918,108417,0.2
4,5,4107648,4513923,0.26,483546,591963,0.21
4,6,45197952,49711875,0.77,2356014,2947977,0.25
4,7,495183360,544895235,6.53,10757418,13705395,0.43
5,0,105,105,0.24,105,105,0.2
5,1,2805,2910,0.27,2805,2910,0.22
5,2,57150,60060,0.22,44940,47850,0.25
5,3,1054200,1114260,0.25,551790,599640,0.27
5,4,18520320,19634580,0.65,5677230,6276870,0.43
5,5,316583280,336217860,6.74,51282870,57559740,1.81
6,0,945,945,0.27,945,945,0.23
6,1,39330,40275,0.31,39330,40275,0.26
6,2,1185300,1225575,0.29,963450,1003725,0.31
6,3,31481280,32706855,1.49,17937450,18941175,1.09
7,0,10395,10395,0.26,10395,10395,0.26
7,1,623385,633780,0.29,623385,633780,0.29
7,2,26001360,26635140,1.52,21649950,22283730,1.4
8,0,135135,135135,0.28,135135,135135,0.28
8,1,11055240,11190375,0.87,11055240,11190375,0.86
9,0,2027025,2027025,0.39,2027025,2027025,0.39
10,0,34459425,34459425,2.08,34459425,34459425,2.0
11,0,654729075,654729075,47.31,654729075,654729075,41.21
